trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
134,False,"{'a': 0.55, 'e': 0.2592402606458915}",25,0,-61.49123945320405,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
135,False,"{'a': 0.55, 'e': 0.2566607769535559}",25,8,-35.37226707145934,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.55, 'e': 0.25410695955280027}",25,14,21.124066150924236,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.55, 'e': 0.25157855305975646}",25,11,11.477135406660171,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.55, 'e': 0.2490753046316682}",25,0,2.61971504480408,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.55, 'e': 0.24659696394160643}",20,0,-18.758956785578505,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
140,False,"{'a': 0.55, 'e': 0.2441432831534371}",20,6,11.236023833931599,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.55, 'e': 0.24171401689703648}",30,20,9.350976742946415,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.55, 'e': 0.23930892224375452}",25,2,-21.20893106078151,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
143,False,"{'a': 0.55, 'e': 0.2369277586821218}",20,0,19.85934878817363,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
144,False,"{'a': 0.55, 'e': 0.23457028809379768}",25,8,-26.576669498250872,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.55, 'e': 0.2322362747297588}",20,10,7.028224883247754,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.55, 'e': 0.22992548518672382}",30,16,-31.341414810215156,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.55, 'e': 0.2276376883838127}",30,16,14.355887137136676,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.55, 'e': 0.22537265553943875}",25,12,-71.8517469982181,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
149,False,"{'a': 0.55, 'e': 0.22313016014842985}",25,8,27.614323564369354,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.55, 'e': 0.2209099779593782}",25,12,11.92095859608566,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.55, 'e': 0.21871188695221477}",25,11,1.9307195410041231,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.55, 'e': 0.21653566731600704}",25,17,15.410392166224263,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.55, 'e': 0.21438110142697797}",20,10,18.898864848409612,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.55, 'e': 0.21224797382674304}",25,14,18.340424119003316,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.55, 'e': 0.21013607120076472}",20,15,9.410294467979535,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.55, 'e': 0.20804518235702046}",30,0,-51.120849613012105,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
157,False,"{'a': 0.55, 'e': 0.20597509820488344}",20,10,18.188483067170168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.55, 'e': 0.20392561173421342}",30,9,6.78129021233857,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.55, 'e': 0.2018965179946554}",20,0,12.992918427373732,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.55, 'e': 0.1998876140751445}",20,13,-20.000050266205406,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
161,False,"{'a': 0.55, 'e': 0.19789869908361465}",30,0,31.40939875659118,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
162,False,"{'a': 0.55, 'e': 0.19592957412690934}",30,0,8.715635910420096,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
163,False,"{'a': 0.55, 'e': 0.19398004229089186}",30,18,18.9744974320404,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.55, 'e': 0.19204990862075408}",35,22,15.471314230218365,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.55, 'e': 0.1901389801015205}",20,15,9.868062099762486,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.55, 'e': 0.18824706563874677}",25,8,32.41490958466821,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.55, 'e': 0.18637397603940997}",30,24,12.576165498686548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.55, 'e': 0.18451952399298926}",25,6,2.5589097374976566,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.55, 'e': 0.18268352405273464}",25,2,39.007582870277844,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.55, 'e': 0.18086579261712207}",30,11,-70.15786143666583,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
171,False,"{'a': 0.55, 'e': 0.17906614791149322}",20,5,-60.86246329427175,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
172,False,"{'a': 0.55, 'e': 0.17728440996987782}",20,3,16.623578091257194,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.55, 'e': 0.1755204006169969}",20,16,7.578318785087978,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.55, 'e': 0.1737739434504451}",20,0,14.451109499278362,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.55, 'e': 0.1720448638230505}",20,9,21.798337870980824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.55, 'e': 0.17033298882540943}",25,20,11.074184675030546,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.55, 'e': 0.16863814726859552}",20,0,-35.9116130371708,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
178,False,"{'a': 0.55, 'e': 0.1669601696670407}",20,8,9.370357760119635,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.55, 'e': 0.16529888822158653}",30,0,30.439158651674862,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.55, 'e': 0.16365413680270405}",20,9,18.961503987014478,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.55, 'e': 0.16202575093388075}",20,0,5.445357988798468,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
182,False,"{'a': 0.55, 'e': 0.16041356777517277}",20,0,-9.045972766731229,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
183,False,"{'a': 0.55, 'e': 0.15881742610692068}",25,15,16.937173363664343,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
